SCHOOL,DEPARTMENT,POSITION,GENDER,Name,Other
MIT,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,ANTHONY P. SHARON,Deputy Executive VP
MIT,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,LORRAINE A. GOFFE,VP for HR
MIT,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,JOHN CHARLES,VP for Information Systems and Technology
MIT,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,GLEN SHOR,VP Finance 
MIT,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,R. GREGORY MORGAN,Senior VP and Secretary of the Corporation
MIT,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,JULIE LUCAS,VP of Resource Development
MIT,SENIOR LEADERSHIP,PRESIDENT/CHANCELLOR,M,W. ERIC L. GRIMSON,Chancellor for Academic Advancement
MIT,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,MARK DIVINCENZO,VP and General Counsel
MIT,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,KIRK D. KOLENBRANDER,VP
MIT,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,NATHANIEL W. NICKERSON,VP for Communications
MIT,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,MARTIN A. SCHMIDT,Provost
MIT,SENIOR LEADERSHIP,OTHER,F,KAREN GLEASON,Associate Provost
MIT,SENIOR LEADERSHIP,OTHER,M,PHILIP S. KHOURY,Associate Provost
MIT,SENIOR LEADERSHIP,OTHER,M,RICHARD LESTER,Associate Provost
MIT,SENIOR LEADERSHIP,OTHER,F,KRYSTYN VAN VLIET,Associate Provost
Stanford,SCHOOL OF HUMANITIES AND SCIENCES,ASSOCIATE DEAN,M,R. Lanier Anderson,
Stanford,SCHOOL OF HUMANITIES AND SCIENCES,ASSOCIATE DEAN,F,Kam Moler,
Stanford,SCHOOL OF HUMANITIES AND SCIENCES,ASSOCIATE DEAN,F,Ellen Markman,
Stanford,SCHOOL OF HUMANITIES AND SCIENCES,ASSOCIATE DEAN,M,Steve Olson,
Stanford,SCHOOL OF HUMANITIES AND SCIENCES,DEAN,M,Richard Salle,
Stanford,SCHOOL OF HUMANITIES AND SCIENCES,ASSOCIATE DEAN,F,"Susan Weersing,",
Stanford,SCHOOL OF HUMANITIES AND SCIENCES,ASSOCIATE DEAN,F,Tina Kass,
Stanford,SCHOOL OF HUMANITIES AND SCIENCES,ASSOCIATE DEAN,F,Denise Ellestad,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Linda M. Boxer,Vice Dean
Stanford,SCHOOL OF MEDICINE,DEAN,M,Lloyd B. Minor,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Norman Rizk,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Yvonne Maldonado,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Marcia J Cohen,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Michele Barry,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,William Talbot,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,David K. Stevenson,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Neil Gesundheit ,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Mark R. Cullen,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Priya Singh,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Lawrence Leung,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Dennis P. Lund,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Cori Bossenberry,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Niraj Dangoria,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Julia Tussing,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Ayodele Thomas,
Stanford,SCHOOL OF MEDICINE,ASSISTANT DEAN,F,Sofie Kleppner,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Michele Schiele,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Susan Knox,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Neil Gesundheit,Interim Associate Dean 
Stanford,SCHOOL OF MEDICINE,ASSISTANT DEAN,F,Preetha Basaviah,
Stanford,SCHOOL OF MEDICINE,ASSISTANT DEAN,M,James Lau,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Fernando S. Mendoza,
Stanford,SCHOOL OF MEDICINE,ASSISTANT DEAN,M,Ronald D. Garcia,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Mijiza M. Sanchez,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Heidi Heilemann,
Stanford,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Cynthia Irvine,
Stanford,SCHOOL OF LAW,DEAN,F,Mary Elizabeth Magill,
Stanford,SCHOOL OF LAW,ASSOCIATE DEAN,M,Frank Brucato,
Stanford,SCHOOL OF LAW,ASSOCIATE DEAN,F,Diane Chin,
Stanford,SCHOOL OF LAW,ASSOCIATE DEAN,F,Faye Deal,
Stanford,SCHOOL OF LAW,ASSOCIATE DEAN,F,Nora Freeman Engstrom,
Stanford,SCHOOL OF LAW,ASSOCIATE DEAN,F,Julia Erwin-Weiner,
Stanford,SCHOOL OF LAW,ASSOCIATE DEAN,F,Deborah Hensler,
Stanford,SCHOOL OF LAW,ASSOCIATE DEAN,F,Sabrina Johnson,
Stanford,SCHOOL OF LAW,ASSOCIATE DEAN,M,Paul C. Pfleiderer,SCHOOL OF BUSINESS
Stanford,SCHOOL OF LAW,ASSOCIATE DEAN,M,Madhav Rajan,SCHOOL OF BUSINESS
Stanford,SCHOOL OF LAW,ASSOCIATE DEAN,F,Susan Robinson,
Stanford,SCHOOL OF LAW,ASSOCIATE DEAN,M,Jason Solomon,
Stanford,SCHOOL OF LAW,ASSOCIATE DEAN,F,Jory Steele,
Stanford,SCHOOL OF ENGINEERING,DEAN,F,Jennifer Widom,
Stanford,SCHOOL OF ENGINEERING,ASSOCIATE DEAN,F,Stacy Bent,
Stanford,SCHOOL OF ENGINEERING,ASSOCIATE DEAN,F,Laura Breyfogle,
Stanford,SCHOOL OF ENGINEERING,ASSOCIATE DEAN,M,Scott Calvert,
Stanford,SCHOOL OF ENGINEERING,ASSOCIATE DEAN,M,Thomas Kenny,
Stanford,SCHOOL OF ENGINEERING,ASSOCIATE DEAN,F,Kirsti Copeland,
Stanford,SCHOOL OF ENGINEERING,ASSOCIATE DEAN,M,Noe Lozano,
Stanford,SCHOOL OF ENGINEERING,ASSISTANT DEAN,F,Sally Gressens,
Stanford,SCHOOL OF EDUCATION ,DEAN,M,"Schwartz, Dan",
Stanford,SCHOOL OF EDUCATION ,ASSOCIATE DEAN,M,"Cox, Geoffrey",
Stanford,SCHOOL OF EDUCATION ,ASSOCIATE DEAN,M,"Brown, Bryan",
Stanford,SCHOOL OF EDUCATION ,ASSOCIATE DEAN,M,"Dee, Thomas S.",
Stanford,SCHOOL OF EDUCATION ,ASSOCIATE DEAN,F,"Trippel, Heather",
Stanford,SCHOOL OF EDUCATION ,ASSISTANT DEAN,F,"Chen, Shu-Ling",
Stanford,SCHOOL OF EDUCATION ,ASSOCIATE DEAN,F,"Fiden, Priscilla",
Stanford,SCHOOL OF EDUCATION ,ASSISTANT DEAN,M,"Kim, Paul",
Stanford,"SCHOOL OF EARTH, ENERGY AND ENVIRONMENTAL SCIENCES",ASSOCIATE DEAN,F,Amy Balsom,
Stanford,"SCHOOL OF EARTH, ENERGY AND ENVIRONMENTAL SCIENCES",ASSOCIATE DEAN,F,Barbara Buell,
Stanford,"SCHOOL OF EARTH, ENERGY AND ENVIRONMENTAL SCIENCES",ASSOCIATE DEAN,F,Sue Crutcher,
Stanford,"SCHOOL OF EARTH, ENERGY AND ENVIRONMENTAL SCIENCES",ASSOCIATE DEAN,F,Robyn Wright Dunbar,
Stanford,"SCHOOL OF EARTH, ENERGY AND ENVIRONMENTAL SCIENCES",ASSOCIATE DEAN,F,Rebecca Smith Vogel,
Stanford,"SCHOOL OF EARTH, ENERGY AND ENVIRONMENTAL SCIENCES",DEAN,M,Stephan Graham,
Stanford,GRADUATE SCHOOL OF BUSINESS,DEAN,M,Jonathan Levin,
Stanford,GRADUATE SCHOOL OF BUSINESS,ASSOCIATE DEAN,M,Yossi Feinberg,
Stanford,GRADUATE SCHOOL OF BUSINESS,ASSOCIATE DEAN,F,Maureen McNichols,
Stanford,GRADUATE SCHOOL OF BUSINESS,ASSOCIATE DEAN,M,Paul Pfleiderer,
Stanford,GRADUATE SCHOOL OF BUSINESS,ASSOCIATE DEAN,F,Sarah A. Soule,
Stanford,GRADUATE SCHOOL OF BUSINESS,ASSOCIATE DEAN,M,Raj Chellaraj,
Stanford,GRADUATE SCHOOL OF BUSINESS,ASSOCIATE DEAN,F,Stephanie B. Frost,
Stanford,GRADUATE SCHOOL OF BUSINESS,ASSISTANT DEAN,F,Margaret Long Hayes,
Stanford,GRADUATE SCHOOL OF BUSINESS,ASSOCIATE DEAN,F,Page Hetzel,
Stanford,GRADUATE SCHOOL OF BUSINESS,ASSISTANT DEAN,F,Kirsten Moss,
Stanford,GRADUATE SCHOOL OF BUSINESS,ASSISTANT DEAN,F,Maeve L.J. Richard,
Stanford,GRADUATE SCHOOL OF BUSINESS,ASSISTANT DEAN,F,Charlotte Toksvig,
Stanford,GRADUATE SCHOOL OF BUSINESS,ASSOCIATE DEAN,M,Dave Weinstein,
Stanford,GRADUATE SCHOOL OF BUSINESS,ASSISTANT DEAN,F,Wendy York-Fess,
Stanford,SENIOR LEADERSHIP,PRESIDENT/CHANCELLOR,M,Marc Tessier-Lavigne,
Stanford,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,Persis Drell,Provost
Stanford,SENIOR LEADERSHIP,ASSISTANT DEAN,M,David Demarest,
Stanford,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,Lisa Lapin,
Stanford,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Randall S. Livingston,
Stanford,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,William J. Madia,
Stanford,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Robert Reidy,
Stanford,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Martin Shell,
Stanford,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,"Howard Wolf,",
Stanford,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,Elizabeth Zacharias,
Stanford,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,Debra Zumwalt,
Stanford,SENIOR LEADERSHIP,DEAN,F,Ann Arvin,Dean and Vice Provost of Research 
Stanford,SENIOR LEADERSHIP,OTHER,M,Harry Elam,Vice Provost for Undergraduate Education 
Stanford,SENIOR LEADERSHIP,OTHER,F,Patricia Gumport,Vice Provost for Graduate Education 
Harvard,SCHOOLF OF BUSINESS ,DEAN,M,Nitin Nohria,
Harvard,SCHOOLF OF BUSINESS ,ASSOCIATE DEAN,M,Bharat N. Anand,
Harvard,SCHOOLF OF BUSINESS ,ASSOCIATE DEAN,M,David E. Bell,
Harvard,SCHOOLF OF BUSINESS ,ASSOCIATE DEAN,M,Srikant M. Datar,
Harvard,SCHOOLF OF BUSINESS ,ASSOCIATE DEAN,M,C. Fritz Foley,
Harvard,SCHOOLF OF BUSINESS ,ASSOCIATE DEAN,F,Janice H. Hammond,
Harvard,SCHOOLF OF BUSINESS ,ASSOCIATE DEAN,M,Paul M. Healy,
Harvard,SCHOOLF OF BUSINESS ,ASSOCIATE DEAN,M,Das Narayandas,
Harvard,SCHOOLF OF BUSINESS ,ASSOCIATE DEAN,M,Felix Oberholzer-Gee,
Harvard,SCHOOLF OF BUSINESS ,ASSOCIATE DEAN,M,David Scharfstein,
Harvard,SCHOOLF OF BUSINESS ,ASSOCIATE DEAN,M,Jan W. Rivkin,
Harvard,SCHOOLF OF BUSINESS ,ASSOCIATE DEAN,M,Luis M. Viceira,
Harvard,SCHOOLF OF BUSINESS ,ASSOCIATE DEAN,F, Angela Q. Crispi,
Harvard,SCHOOLF OF BUSINESS ,ASSOCIATE DEAN,F,Jean M. Cunningham,
Harvard,SCHOOLF OF BUSINESS ,ASSISTANT DEAN,M,Gabriel Handel,
Harvard,HARVARD COLLEGE,DEAN,M,Rakesh Khurana,
Harvard,HARVARD COLLEGE,DEAN,F,Sheila Thimba,
Harvard,HARVARD COLLEGE,ASSOCIATE DEAN,F,Joan Rouse,
Harvard,HARVARD COLLEGE,ASSOCIATE DEAN,F,Nancy E. Laird,
Harvard,HARVARD EXTENSION SCHOOL,DEAN,M,HUNTINGTON D. LAMBERT,
Harvard,SCHOOL OF DENTAL MEDICINE,DEAN,M,Dean Bruce Donoff,
Harvard,SCHOOL OF DENTAL MEDICINE,DEAN,M,Bjorn Reino Olsen,
Harvard,SCHOOL OF DENTAL MEDICINE,ASSISTANT DEAN,F,Catherine R. Ramos,
Harvard,SCHOOL OF DENTAL MEDICINE,DEAN,M,Charles H Frizzell,
Harvard,SCHOOL OF DENTAL MEDICINE,OTHER,M,John Da Silva,Vice Dean 
Harvard,SCHOOL OF DENTAL MEDICINE,DEAN,F,Sang E. Park,
Harvard,SCHOOL OF DENTAL MEDICINE,ASSOCIATE DEAN,F,Wanda Mock,
Harvard,SCHOOL OF DENTAL MEDICINE,ASSOCIATE DEAN,F,Jane R. Barrow,
Harvard,HARVARD DIVINITY SCHOOL,DEAN,F,Patricia M. Byrne,
Harvard,HARVARD DIVINITY SCHOOL,ASSISTANT DEAN,F,Emily Click,
Harvard,HARVARD DIVINITY SCHOOL,ASSISTANT DEAN,F,Steph Gauchel,
Harvard,HARVARD DIVINITY SCHOOL,ASSISTANT DEAN,F,Karin Grundler-Whitacre,
Harvard,HARVARD DIVINITY SCHOOL,ASSOCIATE DEAN,F,Janet Gyatso,
Harvard,HARVARD DIVINITY SCHOOL,DEAN,M,David N. Hempton,
Harvard,HARVARD DIVINITY SCHOOL,ASSOCIATE DEAN,F,Hannah Peters,
Harvard,HARVARD DIVINITY SCHOOL,ASSOCIATE DEAN,M,Dudley C. Rose,
Harvard,HARVARD DIVINITY SCHOOL,ASSOCIATE DEAN,M,Timothy Whelsky,
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,M,Michael Smith,
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,M,Francis J. Doyle III,Associate Deans?
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,M,Jeremy Bloxham,Associate Deans?
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,M,William R. Fitzsimmons,Associate Deans?
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,F,Claudine Gay,Associate Deans?
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,M,Robin Kelsey,Associate Deans?
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,F,Leslie Kirwan,Associate Deans?
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,M,Huntington D. Lambert ,Associate Deans?
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,M,Xiao-Li Meng,Associate Deans?
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,F,Nina Zipser,Associate Deans?
Harvard,FACULTY OF ARTS AND SCIENCES,ASSOCIATE DEAN,F,Nina Collins,
Harvard,FACULTY OF ARTS AND SCIENCES,ASSOCIATE DEAN,M,Jay Herlihy,
Harvard,FACULTY OF ARTS AND SCIENCES,ASSISTANT DEAN,F,Beth Thompson,
Harvard,FACULTY OF ARTS AND SCIENCES,OTHER,M,Mark Elliott,Vice Provost 
Harvard,GRADUATE SCHOOL OF DESIGN,ASSISTANT DEAN,F,Lauren Baccus,
Harvard,GRADUATE SCHOOL OF DESIGN,ASSISTANT DEAN,F,Pamela Baldwin,
Harvard,GRADUATE SCHOOL OF DESIGN,ASSISTANT DEAN,M,Stephen Ervin,
Harvard,GRADUATE SCHOOL OF DESIGN,ASSOCIATE DEAN,F,Beth Kramer,
Harvard,GRADUATE SCHOOL OF DESIGN,DEAN,M,Mohsen Mostafavi,
Harvard,GRADUATE SCHOOL OF DESIGN,ASSISTANT DEAN,F,Jackie Piracini,
Harvard,GRADUATE SCHOOL OF DESIGN,OTHER,F,Patricia Roberts,Executive Dean 
Harvard,GRADUATE SCHOOL OF DESIGN,DEAN,F,Laura Snowdon,
Harvard,GRADUATE SCHOOL OF DESIGN,ASSISTANT DEAN,M,Ken Stewart,
Harvard,GRADUATE SCHOOL OF EDUCATION ,DEAN,M,James E. Ryan,
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSOCIATE DEAN,M,Keith Collar,
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSOCIATE DEAN,F,Maritza Suyapa Hernandez,
Harvard,GRADUATE SCHOOL OF EDUCATION ,OTHER,F,Jack Jennings,Executive Dean 
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSOCIATE DEAN,M,Marc Anthony Johnson,
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSOCIATE DEAN,M,Matt Miller,
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSOCIATE DEAN,M,Eric Hultmark,
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSOCIATE DEAN,F,Jessica Rose Pesce,
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSISTANT DEAN,M,Michael Rodman,
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSOCIATE DEAN,F,Daphne Layton,
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSOCIATE DEAN,F,Laurel Neylon,
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSISTANT DEAN,F,Kelly DeLiberato,
Harvard,GRADUATE SCHOOL OF ARTS AND SCIENCES ,OTHER,F,Emma Dench,Interim Dean
Harvard,GRADUATE SCHOOL OF ARTS AND SCIENCES ,DEAN,M,Xiao-Li Meng,
Harvard,GRADUATE SCHOOL OF ARTS AND SCIENCES ,DEAN,M,Allen Aloise,Associate Deans?
Harvard,GRADUATE SCHOOL OF ARTS AND SCIENCES ,DEAN,M,Mohan Boodram,Associate Deans?
Harvard,GRADUATE SCHOOL OF ARTS AND SCIENCES ,DEAN,M,Jim Hogle,Associate Deans?
Harvard,GRADUATE SCHOOL OF ARTS AND SCIENCES ,DEAN,F,Doreen Hogle,Associate Deans?
Harvard,GRADUATE SCHOOL OF ARTS AND SCIENCES ,DEAN,M,Garth McCavana,Associate Deans?
Harvard,GRADUATE SCHOOL OF ARTS AND SCIENCES ,ASSISTANT DEAN,M,Patrick O'Brien,
Harvard,GRADUATE SCHOOL OF ARTS AND SCIENCES ,ASSOCIATE DEAN,F,Sheila Thomas,
Harvard,GRADUATE SCHOOL OF ARTS AND SCIENCES ,ASSISTANT DEAN,M,John McNally,
Harvard,SCHOOL OF ENGINEERING AND APPLIED SCIENCES,DEAN,M,Frank Doyle,
Harvard,SCHOOL OF ENGINEERING AND APPLIED SCIENCES,OTHER,M,G. Timothy Bowman ,Executive Dean 
Harvard,SCHOOL OF ENGINEERING AND APPLIED SCIENCES,OTHER,M,Fawwaz Habbal ,Executive Dean 
Harvard,SCHOOL OF ENGINEERING AND APPLIED SCIENCES,ASSISTANT DEAN,M,Paul Karoff ,
Harvard,SCHOOL OF ENGINEERING AND APPLIED SCIENCES,ASSISTANT DEAN,F,Pamela Choi Redfern,
Harvard,SCHOOL OF ENGINEERING AND APPLIED SCIENCES,ASSISTANT DEAN,F,Diane Schneeberger,
Harvard,SCHOOL OF ENGINEERING AND APPLIED SCIENCES,ASSOCIATE DEAN,M,David Hwang,
Harvard,SCHOOL OF ENGINEERING AND APPLIED SCIENCES,ASSISTANT DEAN,M,Anas Chalah,
Harvard,SCHOOL OF ENGINEERING AND APPLIED SCIENCES,ASSISTANT DEAN,F,Catherine Chute ,
Harvard,SCHOOL OF ENGINEERING AND APPLIED SCIENCES,ASSISTANT DEAN,M,Timothy Fater ,
Harvard,KENNEDY SCHOOL,DEAN,M,Douglas W. Elmendorf,
Harvard,KENNEDY SCHOOL,DEAN,M,Archon Fung,Academic Dean
Harvard,KENNEDY SCHOOL,DEAN,F,Suzanne Cooper,Academic Dean
Harvard,KENNEDY SCHOOL,OTHER,M,John Haigh,Executive Dean 
Harvard,LAW SCHOOL,DEAN,F,Catherine Claypoole,
Harvard,LAW SCHOOL,DEAN,M,John F. Manning,
Harvard,LAW SCHOOL,DEAN,M,John Goldberg,
Harvard,LAW SCHOOL,DEAN,F,Kristen Stilt,
Harvard,LAW SCHOOL,OTHER,M,William Alford,Vice Dean 
Harvard,LAW SCHOOL,OTHER,M,Daniel Nagin,Vice Dean 
Harvard,LAW SCHOOL,OTHER,M,David Wilkins,Vice Dean 
Harvard,LAW SCHOOL,OTHER,M,Jonathan Zittrain,Vice Dean 
Harvard,LAW SCHOOL,ASSISTANT DEAN,M,Thomas Graca,
Harvard,LAW SCHOOL,ASSISTANT DEAN,F,Jeanne Tai,
Harvard,LAW SCHOOL,ASSOCIATE DEAN,F,Jessica Soban,
Harvard,LAW SCHOOL,ASSOCIATE DEAN,M,Steven Oliveira,
Harvard,LAW SCHOOL,ASSISTANT DEAN,F,Alexa Shabecoff,
Harvard,LAW SCHOOL,ASSISTANT DEAN,M,Mark Weber,
Harvard,LAW SCHOOL,ASSISTANT DEAN,F,Lisa Dealy,
Harvard,LAW SCHOOL,ASSISTANT DEAN,F,Robb London,
Harvard,LAW SCHOOL,DEAN,M,Francis X. McCrossan,
Harvard,LAW SCHOOL,DEAN,F,Marcia Sells,
Harvard,LAW SCHOOL,DEAN,F,Catherine Claypoole,
Harvard,LAW SCHOOL,ASSOCIATE DEAN,M,Matt Gruber,
Harvard,LAW SCHOOL,ASSISTANT DEAN,F,Susannah Barton Tobin,
Harvard,LAW SCHOOL,ASSISTANT DEAN,F,Jeanne Tai,
Harvard,LAW SCHOOL,ASSOCIATE DEAN,F,Marcia Sells,
Harvard,LAW SCHOOL,ASSISTANT DEAN,M,Kevin B. Moody,
Harvard,LAW SCHOOL,OTHER,M,Jonathan Zittrain,
Harvard,LAW SCHOOL,ASSISTANT DEAN,M,Kenneth Lafler,
Harvard,MEDICAL SCHOOL,DEAN,M,George Q. Daley,
Harvard,MEDICAL SCHOOL,DEAN,F,"Gretchen Brodnicki,",
Harvard,MEDICAL SCHOOL,DEAN,M,Lee Nadler,
Harvard,MEDICAL SCHOOL,DEAN,F,Maureen Connelly,
Harvard,MEDICAL SCHOOL,DEAN,F,Joan Reede,
Harvard,MEDICAL SCHOOL,DEAN,M,David Roberts,
Harvard,MEDICAL SCHOOL,DEAN,M,David E. Golan,
Harvard,MEDICAL SCHOOL,DEAN,M,Fidencio Saldaña,
Harvard,MEDICAL SCHOOL,DEAN,M,Edward M. Hunder,
Harvard,MEDICAL SCHOOL,DEAN,F,Nancy J. Tarbell,
Harvard,MEDICAL SCHOOL,DEAN,F,Lisa Boudreau,
Harvard,MEDICAL SCHOOL,ASSISTANT DEAN,F,Lisa Muto,
Harvard,MEDICAL SCHOOL,ASSOCIATE DEAN,F,Gina Vild ,
Harvard,MEDICAL SCHOOL,DEAN,F,Anne Klibanski,
Harvard,MEDICAL SCHOOL,DEAN,M,David Silbersweig,
Harvard,MEDICAL SCHOOL,DEAN,M,Vikas P. Sukhatme,
Harvard,MEDICAL SCHOOL,DEAN,M,Barrett J. Rollins,
Harvard,RADCLIFFE INSTITUTE FOR ADVANCED STUDY ,DEAN,F,Lizabeth Cohen,
Harvard,RADCLIFFE INSTITUTE FOR ADVANCED STUDY ,ASSOCIATE DEAN,M,Matthew E. Kernkraut,Vice Dean 
Harvard,RADCLIFFE INSTITUTE FOR ADVANCED STUDY ,ASSOCIATE DEAN,F,Nisha Mongia,Executive Dean 
Harvard,RADCLIFFE INSTITUTE FOR ADVANCED STUDY ,ASSOCIATE DEAN,F,Ann Renauer,
Harvard,RADCLIFFE INSTITUTE FOR ADVANCED STUDY ,ASSOCIATE DEAN,F,JudithVichniac,
