SCHOOL,DEPARTMENT,POSITION,GENDER,Name,Other,a,b,c,d,e
Boston University,COLLEGE OF COMMUNICATION ,ASSISTANT DEAN,F,Laurie Nichols,,,,,,
Boston University,COLLEGE OF COMMUNICATION ,ASSISTANT DEAN,M,William Taylor,,,,,,
Boston University,COLLEGE OF COMMUNICATION ,ASSOCIATE DEAN,M,Dustin Supa,,,,,,
Boston University,COLLEGE OF COMMUNICATION ,DEAN,M,Thomas E. Fiedler,,,,,,
Boston University,COLLEGE OF EDUCATION AND HUMAN DEVELOPMENT,ASSISTANT DEAN,F,KATHARINE NELSON,,,,,,
Boston University,COLLEGE OF EDUCATION AND HUMAN DEVELOPMENT,ASSISTANT DEAN,F,MARIANA STOYANCHEVA,,,,,,
Boston University,COLLEGE OF EDUCATION AND HUMAN DEVELOPMENT,ASSOCIATE DEAN,F,MARY L. CHURCHILL,,,,,,
Boston University,COLLEGE OF EDUCATION AND HUMAN DEVELOPMENT,ASSOCIATE DEAN,F,GRETCHEN STRUBLE,,,,,,
Boston University,COLLEGE OF EDUCATION AND HUMAN DEVELOPMENT,ASSOCIATE DEAN,F,LINDA BANKS-SANTILLI,,,,,,
Boston University,COLLEGE OF EDUCATION AND HUMAN DEVELOPMENT,ASSOCIATE DEAN,F,ELLEN E. FASZEWSKI,,,,,,
Boston University,COLLEGE OF EDUCATION AND HUMAN DEVELOPMENT,ASSOCIATE DEAN,F,AMIE GRILLS,,,,,,
Boston University,COLLEGE OF EDUCATION AND HUMAN DEVELOPMENT,ASSOCIATE DEAN,F,DONNA H. LEHR,,,,,,
Boston University,COLLEGE OF EDUCATION AND HUMAN DEVELOPMENT,ASSOCIATE DEAN,F,BETH WARREN,,,,,,
Boston University,COLLEGE OF EDUCATION AND HUMAN DEVELOPMENT,DEAN,M,DAVID J. CHARD,,,,,,
Boston University,COLLEGE OF ENGINEERING,ASSISTANT DEAN,F,Stacey Freeman,,,,,,
Boston University,COLLEGE OF ENGINEERING,ASSISTANT DEAN,F,Lisa Drake,,,,,,
Boston University,COLLEGE OF ENGINEERING,DEAN,M,Kenneth R. Lutchen,,,,,,
Boston University,COLLEGE OF FINE ARTS,ASSISTANT DEAN,F,Rebekah Pierson,,,,,,
Boston University,COLLEGE OF FINE ARTS,ASSISTANT DEAN,M,Christopher Marrion ,,,,,,
Boston University,COLLEGE OF FINE ARTS,ASSOCIATE DEAN,F,Ruthie,,,,,,
Boston University,COLLEGE OF FINE ARTS,ASSOCIATE DEAN,M,John Amend,,,,,,
Boston University,COLLEGE OF FINE ARTS,DEAN,M,Harvey Young’,,,,,,
Boston University,COLLEGE OF GENERAL STUDIES,ASSOCIATE DEAN,F,Megan Sullivan,,,,,,
Boston University,COLLEGE OF GENERAL STUDIES,ASSOCIATE DEAN,F,Stacy Godnick,,,,,,
Boston University,COLLEGE OF GENERAL STUDIES,DEAN,F,Natalie McKnight,,,,,,
Boston University,COLLEGE OF HEALTH AND REHABILITATION SCIENCES,ASSISTANT DEAN,F,Kristina Lentz Capano,,,,,,
Boston University,COLLEGE OF HEALTH AND REHABILITATION SCIENCES,ASSISTANT DEAN,F,Sharon Sankey,,,,,,
Boston University,COLLEGE OF HEALTH AND REHABILITATION SCIENCES,ASSOCIATE DEAN,F,Swathi Kiran,,,,,,
Boston University,COLLEGE OF HEALTH AND REHABILITATION SCIENCES,ASSOCIATE DEAN,F,Linda Martin,,,,,,
Boston University,COLLEGE OF HEALTH AND REHABILITATION SCIENCES,ASSOCIATE DEAN,F,Melanie L. Matthies,,,,,,
Boston University,COLLEGE OF HEALTH AND REHABILITATION SCIENCES,DEAN,M,Chris Moore,,,,,,
Boston University,GRADUATE MEDICAL SCIENCES,ASSISTANT DEAN,F,Theresa A. Davies,,,,,,
Boston University,GRADUATE MEDICAL SCIENCES,ASSISTANT DEAN,F,M. Isabel Dominguez,,,,,,
Boston University,GRADUATE MEDICAL SCIENCES,ASSISTANT DEAN,F,Andrew Henderson,,,,,,
Boston University,GRADUATE MEDICAL SCIENCES,ASSISTANT DEAN,F,Gregory A. Vigliant,,,,,,
Boston University,GRADUATE MEDICAL SCIENCES,ASSISTANT DEAN,M,Stephen Brady,,,,,,
Boston University,METROPOLITAN COLLEGE,ASSISTANT DEAN,F,Kimberly Kuborn,,,,,,
Boston University,METROPOLITAN COLLEGE,ASSISTANT DEAN,F,Donna Shea,,,,,,
Boston University,METROPOLITAN COLLEGE,ASSOCIATE DEAN,M,Lou Chitkushev,,,,,,
Boston University,METROPOLITAN COLLEGE,ASSOCIATE DEAN,M,Carl G. Sessa,,,,,,
Boston University,METROPOLITAN COLLEGE,DEAN,F,Tanya Zlateva,,,,,,
Boston University,SCHOOL OF BUSINESS,ASSISTANT DEAN,F,"REISER, RACHEL",,,,,,
Boston University,SCHOOL OF BUSINESS,ASSISTANT DEAN,F,"SIEGEL, MEREDITH",,,,,,
Boston University,SCHOOL OF BUSINESS,ASSISTANT DEAN,M,David Frew,,,,,,
Boston University,SCHOOL OF BUSINESS,ASSISTANT DEAN,M,"PHILLIPS, KAREN",,,,,,
Boston University,SCHOOL OF BUSINESS,ASSOCIATE DEAN,F,Maria Doelger Anderson,,,,,,
Boston University,SCHOOL OF BUSINESS,ASSOCIATE DEAN,F,Barbara Bickart ,,,,,,
Boston University,SCHOOL OF BUSINESS,ASSOCIATE DEAN,F,Susan Fournier,,,,,,
Boston University,SCHOOL OF BUSINESS,ASSOCIATE DEAN,F,Janelle Heineke,,,,,,
Boston University,SCHOOL OF BUSINESS,ASSOCIATE DEAN,M,Paul Carlile,,,,,,
Boston University,SCHOOL OF BUSINESS,ASSOCIATE DEAN,M,Steve Davidson,,,,,,
Boston University,SCHOOL OF BUSINESS,ASSOCIATE DEAN,M,Jonathan Lehrich,,,,,,
Boston University,SCHOOL OF BUSINESS,ASSOCIATE DEAN,M,JP Matychak,,,,,,
Boston University,SCHOOL OF BUSINESS,DEAN,M,Kenneth Freeman,,,,,,
Boston University,SCHOOL OF DENTAL MEDICINE ,ASSISTANT DEAN,F,Margaret R. Errante,,,,,,
Boston University,SCHOOL OF DENTAL MEDICINE ,ASSISTANT DEAN,M,Alexander Bendayan,,,,,,
Boston University,SCHOOL OF DENTAL MEDICINE ,ASSISTANT DEAN,M,Joseph Calabres,,,,,,
Boston University,SCHOOL OF DENTAL MEDICINE ,ASSISTANT DEAN,M,DAVID RUSSELL,,,,,,
Boston University,SCHOOL OF DENTAL MEDICINE ,ASSISTANT DEAN,M,KEVIN HOLLAND,,,,,,
Boston University,SCHOOL OF DENTAL MEDICINE ,ASSOCIATE DEAN,F,Michelle Henshaw,,,,,,
Boston University,SCHOOL OF DENTAL MEDICINE ,ASSOCIATE DEAN,F,MARIA,,,,,,
Boston University,SCHOOL OF DENTAL MEDICINE ,ASSOCIATE DEAN,M,John Guarente,,,,,,
Boston University,SCHOOL OF DENTAL MEDICINE ,ASSOCIATE DEAN,M,Pushkar Mehra,,,,,,
Boston University,SCHOOL OF DENTAL MEDICINE ,ASSOCIATE DEAN,M,CATALDO,,,,,,
Boston University,SCHOOL OF DENTAL MEDICINE ,DEAN,M,Jeffrey W. Hutter,,,,,,
Boston University,SCHOOL OF GLOBAL STUDIES,ASSISTANT DEAN,M,Bob Sherburne,,,,,,
Boston University,SCHOOL OF GLOBAL STUDIES,ASSOCIATE DEAN,M,William W. Grimes,,,,,,
Boston University,SCHOOL OF GLOBAL STUDIES,DEAN,M,Adil Najam,,,,,,
Boston University,SCHOOL OF HOSPITALITY ADMINISTRATION,ASSISTANT DEAN,M,BRIAN SHOCKLEY,,,,,,
Boston University,SCHOOL OF HOSPITALITY ADMINISTRATION,ASSOCIATE DEAN,M,PETER SZENDE,,,,,,
Boston University,SCHOOL OF HOSPITALITY ADMINISTRATION,DEAN,M,Arun Upneja ,,,,,,
Boston University,SCHOOL OF LAW,ASSISTANT DEAN,F,FIONA HORNBLOWER,,,,,,
Boston University,SCHOOL OF LAW,ASSISTANT DEAN,F,ALISA LEONARD,,,,,,
Boston University,SCHOOL OF LAW,ASSISTANT DEAN,F,SUZANNE OTTE,,,,,,
Boston University,SCHOOL OF LAW,ASSISTANT DEAN,M,Zach Dubin,,,,,,
Boston University,SCHOOL OF LAW,ASSISTANT DEAN,M,JOHN RICCARDI,,,,,,
Boston University,SCHOOL OF LAW,ASSOCIATE DEAN,F,Geraldine M. Muir,,,,,,
Boston University,SCHOOL OF LAW,ASSOCIATE DEAN,F,Elizabeth H. Cerrato,,,,,,
Boston University,SCHOOL OF LAW,DEAN,F,Maureen A. O’Rourke,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSISTANT DEAN,F,Suzanne Sarfaty,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSISTANT DEAN,F,Elizabeth Yellen,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSISTANT DEAN,F,Allison Larson,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSISTANT DEAN,F,Jodi Abbott,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSISTANT DEAN,F,Paige K. Curran,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSISTANT DEAN,F,Karen Symes,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSISTANT DEAN,F,Megan Young,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSISTANT DEAN,F,Thea James,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSISTANT DEAN,F,Samantha Kaplan,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSISTANT DEAN,F,Maria Pantages Ober,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSISTANT DEAN,M,Robert M. Beazley,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSISTANT DEAN,M,"Daniel Chen,",,,,,,
Boston University,SCHOOL OF MEDICINE,ASSISTANT DEAN,M,Arvin Garg,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSISTANT DEAN,M,Kenneth Grundfast,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSISTANT DEAN,M,John Polk,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSISTANT DEAN,M,"Ali Guermazi,",,,,,,
Boston University,SCHOOL OF MEDICINE,ASSISTANT DEAN,M,David C. Henderson,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Priya Garg,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Angela Jackson,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Rafael A. Ortega,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Daniel P. Alford,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Barry M. Manuel,,,,,,
Boston University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Jean Ramsey,,,,,,
Boston University,SCHOOL OF MEDICINE,DEAN,F,"Karen H. Antman,",,,,,,
Boston University,SCHOOL OF PUBLIC HEALTH ,ASSISTANT DEAN,F,Lisa M. Toby,,,,,,
Boston University,SCHOOL OF PUBLIC HEALTH ,ASSISTANT DEAN,F,Jacoba Van Heugten,,,,,,
Boston University,SCHOOL OF PUBLIC HEALTH ,ASSOCIATE DEAN,F,Lisa Sullivan,,,,,,
Boston University,SCHOOL OF PUBLIC HEALTH ,ASSOCIATE DEAN,M,Michael McClean,,,,,,
Boston University,SCHOOL OF PUBLIC HEALTH ,ASSOCIATE DEAN,M,Harold Cox,,,,,,
Boston University,SCHOOL OF PUBLIC HEALTH ,DEAN,M,Sandro Galea,,,,,,
Boston University,SCHOOL OF SOCIAL WORK,ASSISTANT DEAN,F,Mena daSilva-Clark ,,,,,,
Boston University,SCHOOL OF SOCIAL WORK,ASSISTANT DEAN,F,TRUDY,,,,,,
Boston University,SCHOOL OF SOCIAL WORK,ASSOCIATE DEAN,F,JUDITH,,,,,,
Boston University,SCHOOL OF SOCIAL WORK,ASSOCIATE DEAN,M,KEN,,,,,,
Boston University,SCHOOL OF SOCIAL WORK,ASSOCIATE DEAN,M,WADE,,,,,,
Boston University,SCHOOL OF SOCIAL WORK,DEAN,M,Jorge Delva,,,,,,
Boston University,SCHOOL OF THEOLOGY,ASSOCIATE DEAN,F,"Arnone, Emily",,,,,,
Boston University,SCHOOL OF THEOLOGY,ASSOCIATE DEAN,F,"Lightsey, Pamela",,,,,,
Boston University,SCHOOL OF THEOLOGY,ASSOCIATE DEAN,M,"Stone, Bryan",,,,,,
Boston University,SCHOOL OF THEOLOGY,ASSOCIATE DEAN,M,Theodore Hickman-Maynard,,,,,,
Boston University,SCHOOL OF THEOLOGY,DEAN,F,"Moore, Mary Elizabeth",,,,,,
Boston University,SCHOOL OF THEOLOGY,DEAN,M,Robert Allan Hill,,,,,,
Boston University,SENIOR LEADERSHIP,OTHER,F,PATRICIA OBRIEN,ASSOCIATE PROVOST,,,,,
Boston University,SENIOR LEADERSHIP,OTHER,F,CRYSTAL WILLIAMS,ASSOCIATE PROVOST,,,,,
Boston University,SENIOR LEADERSHIP,OTHER,F,JULIE,ASSOCIATE PROVOST,,,,,
Boston University,SENIOR LEADERSHIP,OTHER,M,CHRIS,ASSOCIATE PROVOST,,,,,
Boston University,SENIOR LEADERSHIP,OTHER,M,DANIEL,ASSOCIATE PROVOST,,,,,
Boston University,SENIOR LEADERSHIP,PRESIDENT/CHANCELLOR,M,Robert A. Brown,,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,Linda Hyman,PROVOST,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,JEAN MORRISON,PROVOST,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,KAREN ANTMAN,PROVOST,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,DIANE,,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,JENNIFER,,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,AMY,,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,CHRISTINE,,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,GLORIA,,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,ERIKA,,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Douglas Sears,,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,GARY NICKSA,,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,PETER FIEDLIER,,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,PETER,,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,DEREK,,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,MARTIN HOWARD,,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,STEPHEN BURGAY,,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,JAKE SULLIVAN,,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,TODD,,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,WILLIS,,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,STEVEN ,,,,,,
Boston University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,SCOTT ,,,,,,
Columbia University,COLLEGE OF DENTAL MEDICINE,ASSISTANT DEAN,F,Sandra Garcia,,,,,,
Columbia University,COLLEGE OF DENTAL MEDICINE,ASSOCIATE DEAN,F,Letty Moss-Salentijn,vice dean ,,,,,
Columbia University,COLLEGE OF DENTAL MEDICINE,ASSOCIATE DEAN,F,Evanthia Lalla,,,,,,
Columbia University,COLLEGE OF DENTAL MEDICINE,ASSOCIATE DEAN,F,Laureen A. Zubiaurre,,,,,,
Columbia University,COLLEGE OF DENTAL MEDICINE,ASSOCIATE DEAN,M,Joseph Harney,VICE DEAN ,,,,,
Columbia University,COLLEGE OF DENTAL MEDICINE,ASSOCIATE DEAN,M,James B. Fine,,,,,,
Columbia University,COLLEGE OF DENTAL MEDICINE,ASSOCIATE DEAN,M,Joseph V. Errante,,,,,,
Columbia University,COLLEGE OF DENTAL MEDICINE,ASSOCIATE DEAN,M,Dennis A. Mitchell,,,,,,
Columbia University,COLLEGE OF DENTAL MEDICINE,ASSOCIATE DEAN,M,Louis Mandel,,,,,,
Columbia University,COLLEGE OF DENTAL MEDICINE,DEAN,M,Christian S. Stohler,,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,ASSISTANT DEAN,F,Danielle Robbins,,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,ASSOCIATE DEAN,F,Anne Taylor,VICE DEAN,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,ASSOCIATE DEAN,F,Martha Hooven,VICE DEAN,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,ASSOCIATE DEAN,F,Karina W. Davidson,VICE DEAN,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,ASSOCIATE DEAN,F,Lisa Mellman,,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,ASSOCIATE DEAN,F,Hilda Hutcherson,,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,ASSOCIATE DEAN,F,Elizabeth Shane,,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,ASSOCIATE DEAN,F,Robin Honig,VIce dean,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,ASSOCIATE DEAN,F,Jennifer Williamson,,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,ASSOCIATE DEAN,M,Steven Shea,VICE DEAN,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,ASSOCIATE DEAN,M,Jack Cioff,VICE DEAN,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,ASSOCIATE DEAN,M,Ronald Drusin,VIce dean,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,ASSOCIATE DEAN,M,Joseph Giovannelli,,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,ASSOCIATE DEAN,M,Jonathan Amiel,,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,ASSOCIATE DEAN,M,Stephen Nicholas,,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,ASSOCIATE DEAN,M,Arthur G. Palmer III,,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,ASSOCIATE DEAN,M,Michael Shelanski,Vice dean,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,ASSOCIATE DEAN,M,Henry Weil,,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,ASSOCIATE DEAN,M,Noel Robin,,,,,,
Columbia University,COLLEGE OF PHYSICIANS AND SURGEONS ,DEAN,M,Lee Goldman,,,,,,
Columbia University,COLUMBIA BUSINESS SCHOOL,ASSISTANT DEAN,F,Kerith Gardner,,,,,,
Columbia University,COLUMBIA BUSINESS SCHOOL,ASSISTANT DEAN,F,Marilena Botoulas,,,,,,
Columbia University,COLUMBIA BUSINESS SCHOOL,ASSISTANT DEAN,F,Amanda B. Carlson,,,,,,
Columbia University,COLUMBIA BUSINESS SCHOOL,ASSISTANT DEAN,F,Kelley Martin Blanco,,,,,,
Columbia University,COLUMBIA BUSINESS SCHOOL,ASSISTANT DEAN,F,Zelon Eveen Crawford,,,,,,
Columbia University,COLUMBIA BUSINESS SCHOOL,ASSISTANT DEAN,M,Shiva Rajgopal,,,,,,
Columbia University,COLUMBIA BUSINESS SCHOOL,ASSISTANT DEAN,M,Mark A. Horney,,,,,,
Columbia University,COLUMBIA BUSINESS SCHOOL,ASSOCIATE DEAN,F,Janet Horan,vice dean ,,,,,
Columbia University,COLUMBIA BUSINESS SCHOOL,ASSOCIATE DEAN,F,Angela W. Lee,,,,,,
Columbia University,COLUMBIA BUSINESS SCHOOL,ASSOCIATE DEAN,F,Regina Resnick,,,,,,
Columbia University,COLUMBIA BUSINESS SCHOOL,ASSOCIATE DEAN,M,Michael Malone,,,,,,
Columbia University,COLUMBIA BUSINESS SCHOOL,ASSOCIATE DEAN,M,Dil Sidhu,,,,,,
Columbia University,COLUMBIA BUSINESS SCHOOL,DEAN,M,Glenn Hubbard,,,,,,
Columbia University,COLUMBIA COLLEGE,ASSOCIATE DEAN,F,Susan Chang-Kim,vice dean ,,,,,
Columbia University,COLUMBIA COLLEGE,ASSOCIATE DEAN,F,Bernice Tsai,,,,,,
Columbia University,COLUMBIA COLLEGE,ASSOCIATE DEAN,M,Corey S. Aronstam,,,,,,
Columbia University,COLUMBIA COLLEGE,ASSOCIATE DEAN,M,"James T. McMenamin, Jr.",,,,,,
Columbia University,COLUMBIA COLLEGE,DEAN,F,Lisa Hollibaugh,,,,,,
Columbia University,COLUMBIA COLLEGE,DEAN,F,Jessica Marinaccio,,,,,,
Columbia University,COLUMBIA COLLEGE,DEAN,F,Cristen Scully Kromm,,,,,,
Columbia University,COLUMBIA COLLEGE,DEAN,F,Kavita Sharma,,,,,,
Columbia University,COLUMBIA COLLEGE,DEAN,M,James J. Valentini,,,,,,
Columbia University,COLUMBIA COLLEGE,DEAN,M,Andrew Plaa,,,,,,
Columbia University,COLUMBIA ENGINEERING,ASSOCIATE DEAN,F,"Shih-Fu Chang, ",vice dean ,,,,,
Columbia University,COLUMBIA ENGINEERING,ASSOCIATE DEAN,M,| Soulaymane Kachani,vice dean ,,,,,
Columbia University,COLUMBIA ENGINEERING,ASSOCIATE DEAN,M,Barclay Morrison,vice dean ,,,,,
Columbia University,COLUMBIA ENGINEERING,ASSOCIATE DEAN,M, Neil McClure,,,,,,
Columbia University,COLUMBIA ENGINEERING,DEAN,F,Mary C. Boyce,,,,,,
Columbia University,COLUMBIA JOURNALISM SCHOOL,ASSISTANT DEAN,F,Jane Lowry,,,,,,
Columbia University,COLUMBIA JOURNALISM SCHOOL,ASSOCIATE DEAN,F,Christine Souders,,,,,,
Columbia University,COLUMBIA JOURNALISM SCHOOL,ASSOCIATE DEAN,F,Laura Muha,,,,,,
Columbia University,COLUMBIA JOURNALISM SCHOOL,ASSOCIATE DEAN,F,anine Jaquet,,,,,,
Columbia University,COLUMBIA JOURNALISM SCHOOL,ASSOCIATE DEAN,F,Julie Hartenstein,,,,,,
Columbia University,COLUMBIA JOURNALISM SCHOOL,ASSOCIATE DEAN,F,Melanie Huff,,,,,,
Columbia University,COLUMBIA JOURNALISM SCHOOL,DEAN,F,Sheila Coronel,,,,,,
Columbia University,COLUMBIA JOURNALISM SCHOOL,DEAN,M,Steve Coll,,,,,,
Columbia University,COLUMBIA JOURNALISM SCHOOL,DEAN,M,Ernest Sotomayor,,,,,,
Columbia University,COLUMBIA LAW SCHOOL,ASSISTANT DEAN,F,Hazel May,,,,,,
Columbia University,COLUMBIA LAW SCHOOL,ASSISTANT DEAN,F,Julie Miller,,,,,,
Columbia University,COLUMBIA LAW SCHOOL,ASSISTANT DEAN,F,Sylvia Polo,,,,,,
Columbia University,COLUMBIA LAW SCHOOL,ASSISTANT DEAN,F,Yadira Ramos-Herbert,,,,,,
Columbia University,COLUMBIA LAW SCHOOL,ASSISTANT DEAN,F,Marta Ricardo,,,,,,
Columbia University,COLUMBIA LAW SCHOOL,ASSISTANT DEAN,F,Erica Smock,,,,,,
Columbia University,COLUMBIA LAW SCHOOL,ASSISTANT DEAN,M,Adam Kolker,,,,,,
Columbia University,COLUMBIA LAW SCHOOL,ASSISTANT DEAN,M,Michael Patullo,,,,,,
Columbia University,COLUMBIA LAW SCHOOL,ASSOCIATE DEAN,F,Olatunde Johnson,vice dean ,,,,,
Columbia University,COLUMBIA LAW SCHOOL,ASSOCIATE DEAN,F,Brett Dignam,vice dean ,,,,,
Columbia University,COLUMBIA LAW SCHOOL,ASSOCIATE DEAN,F,Nkonye Iwerebon,,,,,,
Columbia University,COLUMBIA LAW SCHOOL,ASSOCIATE DEAN,F,Petal Modeste,,,,,,
Columbia University,COLUMBIA LAW SCHOOL,ASSOCIATE DEAN,M,Avery W. Katz,vice dean ,,,,,
Columbia University,COLUMBIA LAW SCHOOL,ASSOCIATE DEAN,M,Ryan Cairns,,,,,,
Columbia University,COLUMBIA LAW SCHOOL,DEAN,F,Gillian Lester,,,,,,
Columbia University,"GRADUATE SCHOOL OF ARCHITECTURE, PLANNING AND PRESERVATION ",ASSISTANT DEAN,F,Sonya Marshall,,,,,,
Columbia University,"GRADUATE SCHOOL OF ARCHITECTURE, PLANNING AND PRESERVATION ",ASSOCIATE DEAN,F,Janet Reyes,,,,,,
Columbia University,"GRADUATE SCHOOL OF ARCHITECTURE, PLANNING AND PRESERVATION ",ASSOCIATE DEAN,F,Danielle Smoller,,,,,,
Columbia University,"GRADUATE SCHOOL OF ARCHITECTURE, PLANNING AND PRESERVATION ",DEAN,F,Amale Andraos,,,,,,
Columbia University,GRADUATE SCHOOL OF ARTS AND SCIENCES ,ASSISTANT DEAN,F,Thalyana Stathis,,,,,,
Columbia University,GRADUATE SCHOOL OF ARTS AND SCIENCES ,ASSOCIATE DEAN,F,Andrea Solomon,VICE DEAN,,,,,
